_id,name,email,password,languages,birth_date,country,course,situationLaboral,role,dateCreated,gender,eventsConfi,imageUrl,firstOnBoard,conocimientos,quieroAprender,interests,tokens,__v
6487a21ac6fbcccc6873181e,Dott. Calcedonio Canetta,dott..calcedonio@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Alemán']",1113523200000,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://dummyimage.com/369x450,True,"['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ea']","['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0eb']","['64879ed95340903bb1ebb10d', '64879ed95340903bb1ebb113']",,
6487a21ac6fbcccc6873181f,Trinidad Pavón-Posada,trinidad.pavón-posada@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Inglés', 'Alemán']",635558400000,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://picsum.photos/672/241,True,['64879e9a5340903bb1ebb0e9'],['64879e9a5340903bb1ebb0e8'],"['64879ed95340903bb1ebb10c', '64879ed95340903bb1ebb0fa', '64879ed95340903bb1ebb107', '64879ed95340903bb1ebb10a']",,
6487a21ac6fbcccc68731820,Univ.Prof. Torsten Eigenwillig MBA.,univ.prof..torsten@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Inglés', 'Italiano', 'Francés']",792633600000,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://placekitten.com/808/80,True,"['64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0ea']","['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ef']","['64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb0fb', '64879ed95340903bb1ebb106', '64879ed95340903bb1ebb102']",,
6487a21ac6fbcccc68731821,Nicolai Warmer,nicolai.warmer@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano', 'Castellano', 'Francés', 'Inglés']",1055030400000,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://picsum.photos/415/977,True,"['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ed']","['64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ef']","['64879ed95340903bb1ebb0fa', '64879ed95340903bb1ebb100', '64879ed95340903bb1ebb10d']",,
6487a21ac6fbcccc68731822,Guiomar Baldomero Figueroa Castejón,guiomar.baldomero@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Alemán', 'Italiano']",806716800000,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://dummyimage.com/403x607,True,['64879e9a5340903bb1ebb0ed'],['64879e9a5340903bb1ebb0ec'],"['64879ed95340903bb1ebb10a', '64879ed95340903bb1ebb106', '64879ed95340903bb1ebb0fb', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb0fc']",,
6487a21ac6fbcccc68731823,Karlfried Wähner,karlfried.wähner@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano', 'Inglés']",830995200000,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://picsum.photos/481/671,True,"['64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ee']","['64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0ea']","['64879ed95340903bb1ebb0fd', '64879ed95340903bb1ebb112', '64879ed95340903bb1ebb104', '64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb0fe']",,
6487a21ac6fbcccc68731824,Raymond Dumas,raymond.dumas@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Castellano', 'Italiano']",1017619200000,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://picsum.photos/856/144,True,"['64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0e7']","['64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0eb']","['64879ed95340903bb1ebb101', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb10d']",,
6487a21ac6fbcccc68731825,Mr. Antonio Johnson,mr..antonio@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Italiano', 'Alemán', 'Francés', 'Castellano']",405475200000,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://placekitten.com/979/932,True,['64879e9a5340903bb1ebb0eb'],['64879e9a5340903bb1ebb0ef'],"['64879ed95340903bb1ebb10f', '64879ed95340903bb1ebb104', '64879ed95340903bb1ebb108', '64879ed95340903bb1ebb113', '64879ed95340903bb1ebb116']",,
6487a21ac6fbcccc68731826,Eusebio del Castillo,eusebio.del@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Alemán', 'Italiano']",846374400000,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://dummyimage.com/901x892,True,"['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ee']","['64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0ed']","['64879ed95340903bb1ebb110', '64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb114', '64879ed95340903bb1ebb0fa']",,
6487a21ac6fbcccc68731827,Herr Magnus Eberhardt MBA.,herr.magnus@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano', 'Francés']",955929600000,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://picsum.photos/47/449,True,"['64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0f0']","['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0e8']","['64879ed95340903bb1ebb104', '64879ed95340903bb1ebb0fc', '64879ed95340903bb1ebb108', '64879ed95340903bb1ebb0fa', '64879ed95340903bb1ebb100']",,
6487a21ac6fbcccc68731828,Frédéric de Cohen,frédéric.de@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Alemán', 'Italiano', 'Inglés', 'Castellano']",600307200000,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://dummyimage.com/588x168,True,['64879e9a5340903bb1ebb0eb'],['64879e9a5340903bb1ebb0ec'],['64879ed95340903bb1ebb115'],,
6487a21ac6fbcccc68731829,Austin Cooper,austin.cooper@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Italiano']",810432000000,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://dummyimage.com/125x729,True,['64879e9a5340903bb1ebb0e8'],['64879e9a5340903bb1ebb0ee'],"['64879ed95340903bb1ebb100', '64879ed95340903bb1ebb101', '64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb0fe']",,
6487a21ac6fbcccc6873182a,Sandro Guarana-Baglioni,sandro.guarana-baglioni@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Inglés', 'Castellano']",651715200000,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://placekitten.com/645/842,True,['64879e9a5340903bb1ebb0eb'],['64879e9a5340903bb1ebb0e7'],"['64879ed95340903bb1ebb110', '64879ed95340903bb1ebb0ff', '64879ed95340903bb1ebb100']",,
6487a21ac6fbcccc6873182b,Espiridión Armas Armengol,espiridión.armas@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Francés', 'Inglés', 'Alemán', 'Italiano']",710726400000,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://dummyimage.com/269x1019,True,"['64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0f0']","['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0ec']",['64879ed95340903bb1ebb103'],,
6487a21ac6fbcccc6873182c,John Tate,john.tate@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Alemán', 'Francés', 'Castellano']",1003968000000,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://picsum.photos/111/72,True,['64879e9a5340903bb1ebb0e7'],['64879e9a5340903bb1ebb0ed'],"['64879ed95340903bb1ebb107', '64879ed95340903bb1ebb109']",,
6487a21ac6fbcccc6873182d,Sabatino Federici-Siffredi,sabatino.federici-siffredi@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Francés', 'Inglés']",864604800000,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://dummyimage.com/670x411,True,"['64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e7']","['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0e8']","['64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb108']",,
6487a21ac6fbcccc6873182e,Prof. Timo Gierschner B.Sc.,prof..timo@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano', 'Francés', 'Inglés', 'Castellano']",833587200000,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-13 00:54:18.102,male,[],https://picsum.photos/731/272,True,"['64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ee']","['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0f0']",['64879ed95340903bb1ebb107'],,
